date,engine,impact,class,n_variants,pairs,agree,pct
2026-06-14,duckvep,HIGH,del,50000,22685,20563,90.6458
2026-06-14,duckvep,HIGH,ins,50000,9558,8879,92.896
2026-06-14,duckvep,HIGH,mnv,50000,1435,736,51.2892
2026-06-14,duckvep,HIGH,snv,50000,43294,43293,99.9977
2026-06-14,duckvep,LOW,del,50000,7418,6169,83.1626
2026-06-14,duckvep,LOW,ins,50000,3582,2473,69.0396
2026-06-14,duckvep,LOW,mnv,50000,402,382,95.0249
2026-06-14,duckvep,LOW,snv,50000,214055,214050,99.9977
2026-06-14,duckvep,MODERATE,del,50000,4921,4860,98.7604
2026-06-14,duckvep,MODERATE,ins,50000,1754,1723,98.2326
2026-06-14,duckvep,MODERATE,mnv,50000,1687,1209,71.6657
2026-06-14,duckvep,MODERATE,snv,50000,403438,403437,99.9998
2026-06-14,duckvep,MODIFIER,del,50000,35081,34851,99.3444
2026-06-14,duckvep,MODIFIER,ins,50000,17711,17607,99.4128
2026-06-14,duckvep,MODIFIER,mnv,50000,2995,2989,99.7997
2026-06-14,duckvep,MODIFIER,snv,50000,654709,654703,99.9991
2026-06-14,fastvep,HIGH,del,50000,22685,20498,90.3593
2026-06-14,fastvep,HIGH,ins,50000,9558,8974,93.8899
2026-06-14,fastvep,HIGH,mnv,50000,1435,736,51.2892
2026-06-14,fastvep,HIGH,snv,50000,43294,43294,100.0
2026-06-14,fastvep,LOW,del,50000,7418,6193,83.4861
2026-06-14,fastvep,LOW,ins,50000,3582,2761,77.0798
2026-06-14,fastvep,LOW,mnv,50000,402,310,77.1144
2026-06-14,fastvep,LOW,snv,50000,214055,214022,99.9846
2026-06-14,fastvep,MODERATE,del,50000,4921,4846,98.4759
2026-06-14,fastvep,MODERATE,ins,50000,1754,1723,98.2326
2026-06-14,fastvep,MODERATE,mnv,50000,1687,1204,71.3693
2026-06-14,fastvep,MODERATE,snv,50000,403438,403419,99.9953
2026-06-14,fastvep,MODIFIER,del,50000,35081,35066,99.9572
2026-06-14,fastvep,MODIFIER,ins,50000,17711,17672,99.7798
2026-06-14,fastvep,MODIFIER,mnv,50000,2995,2989,99.7997
2026-06-14,fastvep,MODIFIER,snv,50000,654709,654689,99.9969
2026-06-14,duckvep,HIGH,del,3000,239,24,10.0418
2026-06-14,duckvep,HIGH,ins,3000,7,7,100.0
2026-06-14,duckvep,HIGH,mnv,3000,1,0,0.0
2026-06-14,duckvep,HIGH,snv,3000,49,44,89.7959
2026-06-14,duckvep,LOW,del,3000,17,0,0.0
2026-06-14,duckvep,LOW,snv,3000,307,306,99.6743
2026-06-14,duckvep,MODERATE,del,3000,1,1,100.0
2026-06-14,duckvep,MODERATE,ins,3000,20,16,80.0
2026-06-14,duckvep,MODERATE,mnv,3000,7,7,100.0
2026-06-14,duckvep,MODERATE,snv,3000,1845,1845,100.0
2026-06-14,duckvep,MODIFIER,del,3000,1305,1285,98.4674
2026-06-14,duckvep,MODIFIER,ins,3000,989,989,100.0
2026-06-14,duckvep,MODIFIER,mnv,3000,148,148,100.0
2026-06-14,duckvep,MODIFIER,snv,3000,60182,60182,100.0
2026-06-14,fastvep,HIGH,del,3000,239,24,10.0418
2026-06-14,fastvep,HIGH,ins,3000,7,7,100.0
2026-06-14,fastvep,HIGH,mnv,3000,1,0,0.0
2026-06-14,fastvep,HIGH,snv,3000,49,16,32.6531
2026-06-14,fastvep,LOW,del,3000,17,0,0.0
2026-06-14,fastvep,LOW,snv,3000,307,279,90.8795
2026-06-14,fastvep,MODERATE,del,3000,1,1,100.0
2026-06-14,fastvep,MODERATE,ins,3000,20,16,80.0
2026-06-14,fastvep,MODERATE,mnv,3000,7,7,100.0
2026-06-14,fastvep,MODERATE,snv,3000,1845,1810,98.103
2026-06-14,fastvep,MODIFIER,del,3000,1305,1286,98.5441
2026-06-14,fastvep,MODIFIER,ins,3000,989,989,100.0
2026-06-14,fastvep,MODIFIER,mnv,3000,148,148,100.0
2026-06-14,fastvep,MODIFIER,snv,3000,60182,60182,100.0
2026-06-14,duckvep,HIGH,del,50000,22685,20563,90.6458
2026-06-14,duckvep,HIGH,ins,50000,9558,8879,92.896
2026-06-14,duckvep,HIGH,mnv,50000,1435,736,51.2892
2026-06-14,duckvep,HIGH,snv,50000,43294,43293,99.9977
